time, indices
161535300, 50000000
332542800, 100000000
533468000, 150000000
643487600, 200000000
817481100, 250000000
963157700, 300000000
1131714000, 350000000
1545766600, 400000000
1465568000, 450000000
1698875100, 500000000
1704499100, 550000000
1905031000, 600000000
2097525800, 650000000
2280154100, 700000000
2487414300, 750000000
2612605700, 800000000
2631291000, 850000000
2762578500, 900000000
3338488900, 950000000
3074149100, 1000000000
