time, indices
1500, 50000000
1300, 100000000
1400, 150000000
1300, 200000000
1200, 250000000
1100, 300000000
1700, 350000000
1600, 400000000
1600, 450000000
1600, 500000000
1300, 550000000
1100, 600000000
1400, 650000000
1400, 700000000
1400, 750000000
2200, 800000000
1300, 850000000
1200, 900000000
1700, 950000000
1300, 1000000000
